Product Name,ASIN,Rating,# of Reviews,Department,Department Tree,Keepa Link,Pricing Pattern
Greenlights,B08HLW2JXD,4.7,65195,Audible Books & Originals,Audible Books & Originals > Biographies & Memoirs > Entertainment & Celebrities,https://keepa.com/#!product/1-B08HLW2JXD,0
Amazon Gift Card - Print - New Birthday Cupcake,B09NKLXZ5V,4.8,89173,Gift Cards,Gift Cards,https://keepa.com/#!product/1-B09NKLXZ5V,0
U.S. Navy Recruit Training Command Great Lakes Illinois Challenge Coin,B07GC9J1LW,4.8,700,Collectible Coins,Collectibles & Fine Art > Collectible Coins > Individual Coins,https://keepa.com/#!product/1-B07GC9J1LW,2
"Alpha Grillers Instant Read Meat Thermometer for Grill and Cooking. Best Waterproof Ultra Fast Thermometer with Backlight & Calibration. Digital Food Probe for Kitchen, Outdoor Grilling and BBQ!",B00S93EQUK,4.7,51785,Kitchen & Dining,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Thermometers & Timers > Meat,https://keepa.com/#!product/1-B00S93EQUK,1
"Hammermill Printer Paper, 20 Lb Copy Paper, 8.5 x 11 - 8 Ream (4,000 Sheets) - 92 Bright, Made in the USA",B072FVQNWM,4.8,40220,Office Products,Office Products > Office & School Supplies > Paper > Copy & Printing Paper > Copy & Multipurpose Paper,https://keepa.com/#!product/1-B072FVQNWM,1
"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote",B081RJ8DW1,4.2,27268,Camera & Photo Products,Electronics > Camera & Photo > Binoculars & Scopes > Telescopes > Refractors,https://keepa.com/#!product/1-B081RJ8DW1,1
Meta Quest 2 — Advanced All-In-One Virtual Reality Headset — 128 GB,B099VMT8VZ,4.7,83722,Video Games,Video Games > Virtual Reality > Standalone Hardware > Headsets,https://keepa.com/#!product/1-B099VMT8VZ,0
"The Children's Place girls Short Sleeve Ruffle Pique School Uniform Polo Shirt, White, Small US",B01FWOMSCG,4.7,7386,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry > Girls > Clothing > Tops, Tees & Blouses > Polos",https://keepa.com/#!product/1-B01FWOMSCG,0
"NEW'C [3 Pack] Designed for iPhone 12 and iPhone 12 Pro (6.1) Screen Protector Tempered Glass, Case Friendly Ultra Resistant",B08L5M52P7,4.6,24203,Cell Phones & Accessories,"Cell Phones & Accessories > Accessories > Maintenance, Upkeep & Repairs > Screen Protectors",https://keepa.com/#!product/1-B08L5M52P7,3
National Geographic Magazine,B07Q9XYJ6B,4.7,9634,Magazine Subscriptions,"Magazine Subscriptions > Science, History & Nature > Earth Sciences",https://keepa.com/#!product/1-B07Q9XYJ6B,0
"Microsoft 365 Family | 12-Month Subscription, Up to 6 People | Word, Excel, PowerPoint | 1TB OneDrive Cloud Storage | PC/MAC Instant Download | Activation Required",B07F3SNQT5,4.5,2531,Software,Software > Microsoft > All Microsoft,https://keepa.com/#!product/1-B07F3SNQT5,0
"BDK PolyPro Car Seat Covers Full Set in Charcoal on Black – Front and Rear Split Bench Seat Covers for Cars, Easy to Install Car Seat Cover Set, Car Accessories for Auto Trucks Van SUV",B01FKQVZOS,3.7,104472,Automotive,Automotive > Interior Accessories > Seat Covers & Accessories > Seat Covers,https://keepa.com/#!product/1-B01FKQVZOS,0
Unsearched Wheat Penny Roll w/Silver Mercury Dime End Old Us Coin Shotgun Lot Mixed Years Circulated Vintage Collector,B07RZ4DJLL,3.6,794,Collectible Coins,Collectibles & Fine Art > Collectible Coins > Individual Coins,https://keepa.com/#!product/1-B07RZ4DJLL,1
"JBL Vibe 200TWS True Wireless Earbuds - Black, Small",B097F4V3FJ,4.3,15031,Electronics,"Electronics > Headphones, Earbuds & Accessories > Headphones & Earbuds > Earbud Headphones",https://keepa.com/#!product/1-B097F4V3FJ,1
"Safer Home SH502 Indoor Plug-In Fly Trap for Flies, Fruit Flies, Moths, Gnats, and Other Flying Insects – 400 Sq Ft of Protection",B09T3T1FYN,4.3,10273,"Patio, Lawn & Garden","Patio, Lawn & Garden > Pest Control > Traps",https://keepa.com/#!product/1-B09T3T1FYN,0
"SHARPIE Pocket Style Highlighters, Chisel Tip, Assorted Colors, 24 Count",B0040R4E2O,4.8,48208,Office Products,Office Products > Office & School Supplies > Writing & Correction Supplies > Markers & Highlighters > Highlighters,https://keepa.com/#!product/1-B0040R4E2O,1
"TEMPTATIONS Classic Crunchy and Soft Cat Treats Tasty Chicken Flavor, 30 oz. Tub (Packaging May Vary)",B01LNB6SA0,4.8,53394,Pet Supplies,Pet Supplies > Cats > Treats > Snacks > Crunchy Treats,https://keepa.com/#!product/1-B01LNB6SA0,3
National Geographic Kids,B07QF2GG9L,4.7,17313,Magazine Subscriptions,Magazine Subscriptions > Children & Teen > Children > By Age > Baby-3,https://keepa.com/#!product/1-B07QF2GG9L,1
"Amazon Essentials Men's Regular-Fit Cotton Pique Polo Shirt (Available in Big & Tall), White, Large",B01IXFPJJU,4.3,43294,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry > Men > Clothing > Shirts > Polos",https://keepa.com/#!product/1-B01IXFPJJU,3
